[Oshi no Ko],10
Bocchi the Rock!,10
Kaguya-sama wa Kokurasetai: Ultra Romantic,10
Karakai Jouzu no Takagi-san 3,10
Yahari Ore no Seishun Love Come wa Machigatteiru.,10
Yubisaki to Renren,10
Horimiya,9.9
Shingeki no Kyojin: The Final Season - Kanketsu-hen Kouhen,9.9
Koe no Katachi,9.5
Shingeki no Kyojin 3 Part 2,9.5
Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen,9.5
Shingeki no Kyojin: The Final Season Part 2,9.5
K-ON!,9.2
Shingeki no Kyojin 3,9.2
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9
Boku dake ga Inai Machi,9
"Fuufu Ijou, Koibito Miman.",9
Go-toubun no Hanayome,9
Horimiya: piece,9
Karakai Jouzu no Takagi-san,9
Kimetsu no Yaiba,9
Kimi no Na wa.,9
Kimi no Suizou wo Tabetai,9
Mieruko-chan,9
Nanatsu no Taizai,9
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,9
Shingeki no Kyojin,9
Sword Art Online: Progressive - Hoshinaki Yoru no Aria,9
Sword Art Online: Progressive - Kuraki Yuuyami no Scherzo,9
Toradora!,9
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku,9
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,9
Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,8.8
Karakai Jouzu no Takagi-san Movie,8.5
"Komi-san wa, Komyushou desu.",8.5
Shigatsu wa Kimi no Uso,8.5
Shingeki no Kyojin: The Final Season,8.5
Tenki no Ko,8.5
Shingeki no Kyojin 2,8.4
Shin Seiki Evangelion,8.2
Sono Bisque Doll wa Koi wo Suru,8.2
Azumanga Daiou THE ANIMATION,8
Chainsaw Man,8
"Kanojo, Okarishimasu 2nd Season",8
Kawaii dake ja Nai Shikimori-san,8
NARUTO,8
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,8
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8
Yamada-kun to 7-nin no Majo,8
Yamada-kun to Lv999 no Koi wo Suru,8
Nanatsu no Taizai: Imashime no Fukkatsu,7.5
Non Non Biyori,7.5
Non Non Biyori: Repeat,7.5
Non Non Biyori: Nonstop,7.3
Boku ga Aishita Subete no Kimi e,7
Hi Score Girl,7
Hi Score Girl II,7
Himouto! Umaru-chan R,7
Inou-Battle wa Nichijou-kei no Naka de,7
Kimi wo Aishita Hitori no Boku e,7
Kono Subarashii Sekai ni Bakuen wo!,7
Nanatsu no Taizai: Hikari ni Norowareshi Mono-tachi,7
Sonic X,7
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,7
Himouto! Umaru-chan,6.7
Nanatsu no Taizai: Funnu no Shinpan,6.5
Nanatsu no Taizai: Seisen no Shirushi,6.5
Nanatsu no Taizai: Kamigami no Gekirin,6.4
Domestic na Kanojo,6
Karakai Jouzu no Takagi-san: Water Slide,6
Isekai wa Smartphone to Tomo ni.,4
Kakkou no Iinazuke,4
Kageki Shoujo!!,8
Kaguya-sama wa Kokurasetai: Ultra Romantic,8
Kai Byoui Ramune,8
Kaichou wa Maid-sama!,8
Kakushigoto,8
Kami nomi zo Shiru Sekai,8
Kami nomi zo Shiru Sekai II,8
Karakai Jouzu no Takagi-san 2,8
Kaze ga Tsuyoku Fuiteiru,8
Kill la Kill,8
Kill la Kill Tokubetsu-hen,8
Kimetsu no Yaiba,8
Kimi no Na wa.,8
Kishuku Gakkou no Juliet,8
Kobayashi-san Chi no Maidragon,8
Kobayashi-san Chi no Maidragon S,8
Konohana Kitan,8
Kotarou wa Hitorigurashi,8
Kyoukai no Kanata: I'LL BE HERE - Mirai-hen,8
Little Witch Academia,8
Little Witch Academia (TV),8
Machikado Mazoku,8
Made in Abyss: Fukaki Tamashii no Reimei,8
Mahou Shoujo Madoka☆Magica,8
Mairimashita! Iruma-kun,8
Maou-jou de Oyasumi,8
Mieruko-chan,8
Mikakunin de Shinkoukei,8
Net-juu no Susume,8
Nisekoi,8
Nobunagun,8
One Punch Man,8
Ore Monogatari!!,8
"Ore, Twintail ni Narimasu.",8
Outbreak Company,8
Paripi Koumei,8
PERFECT BLUE,8
Runway de Waratte,8
Sakigake!! Cromartie Koukou,8
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,8
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8
Sen to Chihiro no Kamikakushi,8
Shigatsu wa Kimi no Uso,8
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,8
Shin Seiki Evangelion,8
Shinryaku! Ika Musume,8
Shinryaku!! Ika Musume OVA,8
Shinryaku!? Ika Musume,8
Sono Bisque Doll wa Koi wo Suru,8
SPY×FAMILY,8
Summer Wars,8
Tenchi Souzou Design-bu,8
Tengen Toppa Gurren Lagann: Lagann-hen,8
Tenki no Ko,8
THE IDOLM@STER Cinderella Girls 2nd SEASON,8
Thermae Romae,8
Thermae Romae Specials,8
Tonari no Seki-kun,8
Tonari no Totoro,8
Toradora!: Bentou no Gokui,8
Tsuki ga Kirei,8
Uchuu Patrol Luluco,8
Yagate Kimi ni Naru,8
Yakusoku no Neverland,8
Yamada-kun to 7-nin no Majo,8
Yuru Camp△ Movie,8
Yuru Camp△ OVA,8
Zetsuen no Tempest,8
ACCA: 13-ku Kansatsu-ka,7
ACCA: 13-ku Kansatsu-ka Specials,7
Acchi Kocchi,7
Acchi Kocchi: PLACE=PRINCESS,7
Adachi to Shimamura,7
Aharen-san wa Hakarenai,7
Akkun to Kanojo,7
Amaama to Inazuma,7
Amagami SS+ plus,7
Amagami SS+ plus Specials,7
Amanchu!,7
Anne no Nikki,7
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7
Ansatsu Kyoushitsu 2: Kagaijugyou-hen,7
Aoki Hagane no Arpeggio: Ars Nova,7
Aoki Hagane no Arpeggio: Ars Nova - Cadenza,7
ARIA The ANIMATION,7
Arte,7
Baccano!,7
Bakemonogatari,7
BanG Dream! Episode of Roselia II: Song I am.,7
BanG Dream! FILM LIVE 2nd Stage,7
BanG Dream! Morfonication,7
BanG Dream! Poppin' Dream!,7
BanG Dream!: Asonjatta,7
BEASTARS 2,7
Binbougami ga!,7
BIRDIE WING: Golf Girls' Story,7
Bloody Night,7
Boku no Hero Academia 3,7
Bokutachi wa Benkyou ga Dekinai,7
Chio-chan no Tsuugakuro,7
Chirin no Suzu,7
Chobits,7
Choujikuu Yousai Macross,7
Chuunibyou demo Koi ga Shitai! Ren Lite,7
Chuunibyou demo Koi ga Shitai! Ren Specials,7
Chuunibyou demo Koi ga Shitai!: Kirameki no… Slapstick Noel,7
CLANNAD,7
Deaimon,7
Devilman: Tanjou-hen,7
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
Gekkan Shoujo Nozaki-kun Mini OVA,7
Given,7
Go-toubun no Hanayome,7
Go-toubun no Hanayome Movie,7
Go-toubun no Hanayome ∬,7
Golden Kamuy,7
Hakozume: Kouban Joshi no Gyakushuu,7
Hanasaku Iroha: HOME SWEET HOME,7
Hentai Ouji to Warawanai Neko.,7
Hentai Ouji to Warawanai Neko.: Henneko BBS,7
Heya Camp△,7
Hitoribocchi no ○○ Seikatsu,7
Horimiya,7
Houkago Teibou Nisshi,7
Howl no Ugoku Shiro,7
IDOLY PRIDE,7
Irregular Hunter X: The Day of Sigma,7
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7
Jaku-Chara Tomozaki-kun,7
Jibaku Shounen Hanako-kun,7
JoJo no Kimyou na Bouken (TV),7
